Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          51          67        337
          51          68        135
          51          69        199
          51          71         35
          51          72         97
          51          74          7
          51          75        112
          51          76         16
          51          77         42
          51          78         14
          51          79         46
          51          80         22
          51          84         77
          51          89         63
          51          90         66
          52           3         24
          52           7         17
          52          14         19
          52          15         46
          52          16         12
          52          17         32
          52          18         68
          52          19         13
          52          20         11
          52          21        273
          52          22        101
          52          23        103
          52          24         21
          52          25        180
          52          26        132
          52          28         40
          52          31         35
          52          34         79
          52          35         22
          52          36         64
          52          37        207
          52          38        229
          52          40        184
          52          41         95
          52          42         56
          52          43         76
          52          44         36
          52          45        358
          52          46        168
          52          47          7
          52          48         41
          52          50        216
          52          51         61
          52          52         27
          52          53         88
          52          55         19
          52          57        115
          52          59         37
          52          60        161
          52          61         73
          52          62         29
          52          63         84
          52          64        146
          52          65        162
          52          66        229
          52          67         38
          52          68         82
          52          70         87
          52          71        142
          52          72         59
          52          73         37
          52          75         24
          52          76         30
          52          77        182
          52          78         99
          52          79        164
          52          80         11
          52          82          8
          52          84        176
          52          89        157
          52          90        254
          53           1         14
          53           3         37
          53          17         31
          53          18         31
          53          19          9
          53          21        159
          53          22          3
          53          23         46
          53          24         19
          53          25         39
          53          26         39
          53          34         26
          53          37         59
          53          38         14
          53          39         23
          53          40         11
          53          42         10
          53          45         25
          53          46         38
          53          48          5
          53          50         79
          53          51         22
          53          52        171
          53          53        100
          53          54         18
          53          55         56
          53          56         12
          53          57         18
          53          60         30
          53          61         16
          53          63         41
          53          64         46
          53          66         82
          53          67        126
          53          68         39
          53          69          7
          53          70         29
          53          71         81
          53          72        118
          53          73         14
          53          74         66
          53          75         46
          53          77        115
          53          78         14
          53          79        109
          53          82         35
          53          84         23
          53          89         43
          53          90         93
          54          15         13
          54          16         54
          54          17         16
          54          18         28
          54          19         28
          54          21        113
          54          22         49
          54          23          5
          54          25        174
          54          26         23
          54          30         22
          54          31         14
          54          32         13
          54          34        138
          54          35         12
          54          36        295
          54          37         45
          54          38         13
          54          39         16
          54          40         77
          54          41        174
          54          42         20
          54          43         49
          54          44         11
          54          45         71
          54          46        146
          54          47         33
          54          50        244
          54          51         32
          54          52        146
          54          53        122
