Fri Feb 07 2020 21:25:37 GMT-0500 (Eastern Standard Time) - Run Time: 3054ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          40          74         36
          40          75         58
          40          76         11
          40          77         66
          40          78         36
          40          79         88
          40          84         65
          40          88         30
          40          89         27
          40          90         57
          41          14         15
          41          15         31
          41          17         10
          41          19         19
          41          21        261
          41          22         77
          41          25         32
          41          26         39
          41          29        137
          41          34         25
          41          35         18
          41          36        192
          41          38        175
          41          39         33
          41          40        156
          41          42        125
          41          43        299
          41          44         78
          41          45        231
          41          46        226
          41          47         47
          41          48         53
          41          50        113
          41          51        164
          41          52        163
          41          53         21
          41          54        174
          41          55         61
          41          56        126
          41          57        113
          41          59         20
          41          60         38
          41          62          6
          41          63         63
          41          64         18
          41          65        156
          41          66        194
          41          67         20
          41          68        155
          41          69        450
          41          70         59
          41          71         96
          41          73          9
          41          74          7
          41          75         10
          41          76         44
          41          77        117
          41          78         83
          41          79         18
          41          80          4
          41          84         17
          41          90        103
          42           4         39
          42           9         17
          42          15         84
          42          17         96
          42          19         31
          42          20          6
          42          21        391
          42          22        141
          42          23         20
          42          25        216
          42          32         18
          42          34         38
          42          35         12
          42          36        102
          42          37        100
          42          38        242
          42          39         12
          42          40        208
          42          41        101
          42          42        306
          42          43        237
          42          44          6
          42          45        101
          42          46        303
          42          47         95
          42          48         18
          42          49         42
          42          50         50
          42          51        233
          42          52        229
          42          53         39
          42          54         78
          42          55         62
          42          56        103
          42          57        171
          42          59         31
          42          60        120
          42          62         32
          42          63         46
          42          64         36
          42          65        180
          42          66        120
          42          67         66
          42          68        192
          42          69        532
          42          70        133
          42          71        190
